DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE
2020-01-02,2201.21,2202.32,2171.84,2175.17,494677752,4638167309579
2020-01-03,2192.58,2203.38,2165.39,2176.46,631562785,5763662746548
2020-01-06,2154.97,2164.42,2149.95,2155.07,592670719,5156540935534
2020-01-07,2166.6,2181.62,2164.27,2175.54,568235609,5143511908278
2020-01-08,2156.27,2162.32,2137.72,2151.31,913830628,8750722208310
2020-01-09,2182.2,2186.45,2172.16,2186.45,592603655,7261591245997
2020-01-10,2189.48,2206.92,2188.1,2206.39,594536948,6459299778577
2020-01-13,2204.49,2230.43,2204.49,2229.26,488288759,6214780461727
2020-01-14,2243.06,2250.79,2232.94,2238.88,835899254,7294227861325
2020-01-15,2229.8,2238.21,2223.39,2230.98,746156323,5946351320652
2020-01-16,2231.93,2249.09,2225.41,2248.05,808331797,6204474418701
2020-01-17,2261.57,2268.71,2245.58,2250.57,580816395,5444383530119
2020-01-20,2261.4,2277.23,2258.09,2262.64,545491231,5950403033200
2020-01-21,2259.81,2266.31,2238.25,2239.69,770319899,5569550564922
2020-01-22,2238.53,2269.27,2235.13,2267.25,608509908,6365617281303
2020-01-23,2254.54,2260.63,2241.94,2246.13,509608911,6790103967147
2020-01-28,2192.22,2199.93,2166.23,2176.72,808878835,8818232390840
2020-01-29,2188.18,2195.45,2172.33,2185.28,692300723,6589949501296
2020-01-30,2181.54,2187.45,2139.72,2148.0,602838388,7105203082012
2020-01-31,2160.6,2167.23,2119.01,2119.01,710507814,7226687169037
2020-02-03,2086.61,2126.73,2082.74,2118.88,836699550,8068704032225
2020-02-04,2121.22,2162.32,2120.53,2157.9,624641660,7791178403016
2020-02-05,2177.26,2181.52,2154.88,2165.63,574395954,7736275092053
2020-02-06,2184.77,2229.99,2182.25,2227.94,695216238,8334737832306
2020-02-07,2221.49,2223.92,2198.14,2211.95,800342334,8813174418003
2020-02-10,2185.63,2203.39,2180.51,2201.07,609566457,5471061224066
2020-02-11,2213.5,2233.32,2211.25,2223.12,526211397,6611195318466
2020-02-12,2225.95,2242.24,2214.77,2238.38,632462739,6892197809938
2020-02-13,2245.72,2255.49,2230.3,2232.96,638666394,8121197408774
2020-02-14,2232.71,2251.5,2221.9,2243.59,597224094,6379565384141
2020-02-17,2243.07,2250.05,2230.26,2242.17,458247876,5639200666983
2020-02-18,2225.98,2232.93,2205.21,2208.88,470424959,6411451075683
2020-02-19,2222.51,2226.0,2191.2,2210.34,591155345,7107033607258
2020-02-20,2223.55,2228.18,2186.72,2195.5,709563653,7677672112579
2020-02-21,2165.65,2184.43,2160.28,2162.84,635474020,7105856138500
2020-02-24,2114.04,2120.06,2079.03,2079.04,948620568,9315474824162
2020-02-25,2075.55,2105.49,2071.5,2103.61,1565588378,8952278187621
2020-02-26,2064.07,2089.64,2059.13,2076.77,810937954,8060327456461
2020-02-27,2073.87,2085.4,2049.15,2054.89,562775389,7241174418670
2020-02-28,2020.17,2031.01,1980.82,1987.01,671551554,9927960489404
2020-03-02,1997.03,2017.07,1969.34,2002.51,528103441,7811002803335
2020-03-03,2051.85,2051.85,2009.39,2014.15,615692688,8687846563942
2020-03-04,2005.81,2063.59,2005.81,2059.33,606287025,7829192743679
2020-03-05,2078.11,2089.08,2059.99,2085.26,675205309,7954349129052
2020-03-06,2053.09,2062.57,2032.13,2040.22,865588195,7233537918936
2020-03-09,1981.02,1989.5,1946.9,1954.77,666868332,8796943870443
2020-03-10,1942.85,1968.17,1934.72,1962.93,638564334,9133693232419
2020-03-11,1965.67,1967.7,1898.27,1908.27,679716263,8598096539563
2020-03-12,1887.97,1897.23,1808.56,1834.33,850344629,11309953238897
2020-03-13,1722.68,1809.31,1680.6,1771.44,1035277623,13376937880276
2020-03-16,1805.43,1805.43,1714.38,1714.86,682003596,8593833318802
2020-03-17,1640.84,1722.97,1637.88,1672.44,649779162,9709076676434
2020-03-18,1686.12,1693.95,1591.12,1591.2,728007845,9576387436387
2020-03-19,1626.09,1626.09,1439.43,1457.64,977674546,11932492035885
2020-03-20,1498.49,1566.82,1466.48,1566.15,817021497,10632970114698
2020-03-23,1474.45,1516.75,1458.41,1482.46,647528307,9645271634190
2020-03-24,1523.69,1609.97,1508.68,1609.97,679288486,10481447737237
2020-03-25,1668.19,1707.64,1645.28,1704.76,872808831,12612287867284
2020-03-26,1699.11,1735.75,1679.23,1686.24,992473707,12374197616604
2020-03-27,1756.07,1759.05,1668.21,1717.73,1077526545,12851932962119
2020-03-30,1670.34,1729.63,1659.95,1717.12,767776797,9081049803032
2020-03-31,1739.29,1757.81,1722.62,1754.64,1037488156,13905369066747
2020-04-01,1737.28,1762.44,1685.37,1685.46,1243590730,12110507381678
2020-04-02,1693.53,1726.76,1664.13,1724.86,766313445,10152244718742
2020-04-03,1731.17,1743.91,1706.68,1725.44,1000086507,10153714406089
2020-04-06,1745.25,1794.19,1742.67,1791.88,1219388574,10957483192535
2020-04-07,1826.72,1838.97,1791.92,1823.6,951738564,11628935543509
2020-04-08,1815.75,1842.16,1801.8,1807.14,907493916,11126542159615
2020-04-09,1838.09,1839.33,1818.3,1836.21,920570686,10517358549787
2020-04-10,1835.76,1861.1,1824.43,1860.7,992548388,12009988837226
2020-04-13,1853.3,1853.3,1825.76,1825.76,1017751537,9516704096110
2020-04-14,1846.41,1864.46,1837.17,1857.08,886766248,9995854086344
2020-04-16,1839.51,1862.23,1828.13,1857.07,878338050,10710793199999
2020-04-17,1893.31,1926.02,1893.19,1914.53,1667459582,14127722405516
2020-04-20,1908.34,1925.25,1893.17,1898.36,1087463349,11915932209602
2020-04-21,1886.78,1898.32,1841.66,1879.38,1174293762,13863164450974
2020-04-22,1855.51,1897.9,1844.85,1896.15,820359973,9428672633853
2020-04-23,1907.45,1923.53,1895.98,1914.73,683719714,9124271815911
2020-04-24,1906.07,1908.29,1880.71,1889.01,933917234,9647344478840
2020-04-27,1897.06,1929.82,1894.62,1922.77,735662975,8171668846877
2020-04-28,1931.25,1941.79,1911.63,1934.09,1173476059,10375078302989
2020-04-29,1936.89,1957.51,1934.31,1947.56,1984181619,10525128532479
2020-05-04,1906.42,1918.66,1894.29,1895.37,1146855467,10261902202857
2020-05-06,1919.45,1928.76,1902.55,1928.76,1082526836,8550700968723
2020-05-07,1922.0,1938.5,1918.57,1928.61,775657990,7383335083519
2020-05-08,1944.94,1956.89,1942.54,1945.82,784772658,7941567564414
2020-05-11,1953.51,1960.46,1932.87,1935.4,591282994,7752760806973
2020-05-12,1938.62,1938.62,1905.17,1922.17,799930033,9681896635050
2020-05-13,1897.5,1940.42,1897.24,1940.42,618783618,9012307818081
2020-05-14,1922.44,1931.43,1913.49,1924.96,760646303,9469021404658
2020-05-15,1937.63,1938.59,1913.21,1927.28,866357217,9723312708078
2020-05-18,1934.51,1943.07,1921.14,1937.11,761695993,9394306873102
2020-05-19,1977.47,1983.77,1968.59,1980.61,773414630,11918300290192
2020-05-20,1972.12,1992.2,1972.12,1989.64,699446970,8248632036086
2020-05-21,2003.2,2004.95,1993.0,1998.31,601199346,8636997699884
2020-05-22,2001.6,2002.65,1961.4,1970.13,847467288,9509771760326
2020-05-25,1980.51,1994.9,1967.84,1994.6,641458990,7960324756104
2020-05-26,2001.0,2029.89,1997.94,2029.78,1017804023,12545313579781
2020-05-27,2027.9,2043.44,2019.82,2031.2,1178847686,12635098387337
2020-05-28,2047.08,2054.52,2003.75,2028.54,1172134329,14479213391390
2020-05-29,2018.37,2038.89,2006.62,2029.6,1086214531,14084590166800
2020-06-01,2037.04,2065.38,2035.63,2065.08,997348462,9839657383038
2020-06-02,2061.45,2089.43,2059.14,2087.19,1000332119,10232916613603
2020-06-03,2108.55,2156.55,2107.69,2147.0,1152001392,16998832251499
2020-06-04,2181.64,2191.0,2139.68,2151.18,1393307839,16034002142290
2020-06-05,2151.17,2187.25,2138.18,2181.87,854591430,12778905806695
2020-06-08,2215.6,2217.21,2174.96,2184.29,854035253,13145519107463
2020-06-09,2206.23,2212.17,2166.01,2188.92,817085488,14689860828352
2020-06-10,2187.91,2200.68,2178.12,2195.69,706294077,12888183095069
2020-06-11,2184.36,2200.72,2148.51,2176.78,827381476,16987057620203
2020-06-12,2088.24,2137.12,2084.63,2132.3,689896760,14960780838903
2020-06-15,2114.41,2129.67,2030.82,2030.82,1072277727,18242464517682
2020-06-16,2091.09,2138.08,2079.02,2138.05,973638914,13837056898298
2020-06-17,2133.18,2154.37,2105.26,2141.05,927515701,15458440200634
2020-06-18,2134.35,2145.13,2120.29,2133.48,767184256,11089871020141
2020-06-19,2153.09,2153.57,2108.91,2141.32,1079452697,12300498419524
2020-06-22,2126.38,2142.88,2122.1,2126.73,789371970,10098315248975
2020-06-23,2149.13,2158.15,2110.51,2131.24,917567444,13496081372787
2020-06-24,2145.93,2171.86,2143.91,2161.51,913896139,13324797690536
2020-06-25,2130.45,2143.33,2112.37,2112.37,1017720601,10692627098579
2020-06-26,2137.47,2142.04,2115.25,2134.65,761043656,9821159648182
2020-06-29,2105.54,2120.5,2087.84,2093.48,643155859,9025867722947
2020-06-30,2124.38,2134.38,2108.26,2108.33,708604874,11699082707241
2020-07-01,2128.81,2133.55,2101.33,2106.7,1116220850,10232631942700
2020-07-02,2116.72,2135.37,2113.98,2135.37,1091965156,10745168204526
2020-07-03,2147.89,2153.54,2135.3,2152.41,770054734,8649543800140
2020-07-06,2158.95,2191.28,2157.71,2187.93,666902024,11656294735939
2020-07-07,2202.04,2206.79,2164.03,2164.17,847434362,14858393386688
2020-07-08,2166.76,2173.83,2150.89,2158.88,677810176,11567569371753
2020-07-09,2171.15,2181.48,2166.74,2167.9,619368220,12029949538080
2020-07-10,2171.44,2171.52,2140.29,2150.25,886987422,12048058313719
2020-07-13,2170.51,2188.8,2163.07,2186.06,650230828,10462265621930
2020-07-14,2176.43,2183.61,2165.6,2183.61,810952190,11633360175479
2020-07-15,2208.73,2216.97,2190.66,2201.88,830266170,13641396398926
2020-07-16,2203.3,2207.34,2177.82,2183.76,784637064,11304254033107
2020-07-17,2187.85,2204.2,2187.85,2201.19,569297015,10191102923037
2020-07-20,2209.59,2209.59,2183.83,2198.2,686819331,12025004388559
2020-07-21,2219.19,2234.86,2214.28,2228.83,918483110,15759332636629
2020-07-22,2228.2,2238.86,2221.62,2228.66,856218145,15651892519811
2020-07-23,2227.24,2227.24,2202.99,2216.19,934542334,16328982791157
2020-07-24,2196.73,2219.57,2195.49,2200.44,1001024922,17156946661845
2020-07-27,2203.48,2231.25,2203.48,2217.86,928624589,14256877111350
2020-07-28,2238.19,2266.0,2237.21,2256.99,866725741,17516981979726
2020-07-29,2258.35,2276.79,2252.24,2263.16,899494183,15500571709743
2020-07-30,2275.33,2281.33,2263.81,2267.01,713039430,13550209339034
2020-07-31,2278.53,2281.41,2248.49,2249.37,739688794,13002293229614
2020-08-03,2251.65,2254.38,2237.04,2251.04,648462478,13612906120002
2020-08-04,2272.33,2284.66,2269.69,2279.97,722906377,15287235291908
2020-08-05,2289.23,2312.14,2283.95,2311.86,841298584,17883091283569
2020-08-06,2322.64,2352.48,2322.64,2342.61,797147074,17831685624449
2020-08-07,2349.25,2362.24,2333.62,2351.67,812594607,17585764473385
2020-08-10,2353.92,2390.51,2349.33,2386.38,784617498,19511321883161
2020-08-11,2396.11,2429.36,2396.11,2418.67,843437905,19680402218094
2020-08-12,2414.78,2432.35,2393.27,2432.35,763734794,16680055518488
2020-08-13,2455.28,2458.17,2412.49,2437.53,907218783,18250022567058
2020-08-14,2427.85,2435.0,2383.69,2407.49,968124509,16595686362692
2020-08-18,2405.84,2419.65,2336.78,2348.24,909750109,17572479450022
2020-08-19,2370.87,2380.1,2353.17,2360.54,637965095,12367503045993
2020-08-20,2339.91,2357.08,2270.85,2274.22,903743682,17101785025778
2020-08-21,2306.16,2329.34,2280.97,2304.59,865735547,14111672142563
2020-08-24,2309.38,2332.33,2283.48,2329.83,649276997,11654192722499
2020-08-25,2352.15,2369.78,2340.97,2366.73,771584899,13567979759561
2020-08-26,2367.74,2374.68,2336.98,2369.32,956477600,14435847151150
2020-08-27,2371.95,2373.36,2344.38,2344.45,913917009,15184934096620
2020-08-28,2362.22,2379.26,2345.28,2353.8,1297312453,15539938168140
2020-08-31,2377.09,2381.5,2326.06,2326.17,1647817574,19494383573469
2020-09-01,2340.19,2355.9,2331.23,2349.55,1085245170,16664315188856
2020-09-02,2363.43,2369.57,2341.29,2364.37,1429273398,15793103441693
2020-09-03,2383.26,2401.78,2382.23,2395.9,981546067,17420976999156
2020-09-04,2332.68,2371.02,2332.68,2368.25,1351039363,19692978202805
2020-09-07,2369.85,2387.49,2362.42,2384.22,1197385474,17183375926104
2020-09-08,2402.66,2407.56,2391.43,2401.91,979357221,17297863872467
2020-09-09,2372.53,2388.85,2369.12,2375.81,946247432,15502530521592
2020-09-10,2404.83,2406.68,2388.56,2396.48,1064574011,15782939154843
2020-09-11,2389.76,2397.56,2374.0,2396.69,882880372,12068892326762
2020-09-14,2418.33,2429.07,2410.79,2427.91,963082613,12021767344457
2020-09-15,2434.59,2444.57,2423.79,2443.58,849968969,11840594190854
2020-09-16,2442.72,2450.53,2429.94,2435.92,772938451,11855356972071
2020-09-17,2430.77,2437.02,2398.69,2406.17,853740333,14235035868846
2020-09-18,2413.53,2417.81,2396.33,2412.4,756516872,13965196874371
2020-09-21,2412.44,2427.17,2379.38,2389.39,1041993131,14215076014331
2020-09-22,2388.14,2388.49,2323.58,2332.59,1051028207,17896725781419
2020-09-23,2352.56,2354.46,2287.44,2333.24,735041523,13562935251189
2020-09-24,2295.62,2309.74,2268.88,2272.7,714881419,12469005382919
2020-09-25,2295.19,2296.36,2267.63,2278.79,697961594,10181604242046
2020-09-28,2301.16,2314.81,2291.32,2308.08,605977250,8971171704466
2020-09-29,2331.51,2339.83,2320.04,2327.89,646218105,9487146664002
2020-10-05,2330.55,2364.73,2327.83,2358.0,763618171,10682774304838
2020-10-06,2369.17,2378.28,2355.39,2365.9,861754649,11131424105719
2020-10-07,2350.82,2387.45,2347.82,2386.94,737994343,8971100519076
2020-10-08,2408.49,2409.01,2383.82,2391.96,961726151,12530442220994
2020-10-12,2404.18,2409.42,2393.74,2403.73,843574320,10693282773334
2020-10-13,2416.85,2418.89,2385.87,2403.15,724920330,10203177944787
2020-10-14,2403.74,2405.56,2375.54,2380.48,901176740,11018495309857
2020-10-15,2375.91,2376.73,2348.74,2361.21,1165501314,13029475151158
2020-10-16,2363.88,2370.73,2325.03,2341.53,920205454,11141460474055
2020-10-19,2352.92,2364.25,2344.77,2346.74,931645042,10490729774189
2020-10-20,2333.56,2358.41,2322.06,2358.41,874293348,11833547961055
2020-10-21,2363.03,2371.74,2356.32,2370.86,812837069,9864097899775
2020-10-22,2355.61,2360.22,2339.73,2355.05,815612184,9774988622255
2020-10-23,2364.84,2368.57,2344.49,2360.81,890384626,10724121608942
2020-10-26,2366.5,2374.5,2342.58,2343.91,822267739,11654273569215
2020-10-27,2328.66,2349.33,2321.23,2330.84,666941810,11269186068061
2020-10-28,2324.18,2345.46,2316.47,2345.26,705770290,8941027932538
2020-10-29,2312.34,2330.17,2299.91,2326.67,509768187,10357788036488
2020-10-30,2319.56,2320.2,2266.93,2267.15,795585220,11782117594513
2020-11-02,2276.61,2302.64,2267.95,2300.16,678501162,8514452400699
2020-11-03,2315.81,2344.77,2315.3,2343.31,887445456,10874229018838
2020-11-04,2361.32,2371.14,2339.95,2357.32,986786300,14835038714079
2020-11-05,2373.41,2413.79,2370.85,2413.79,702037484,12578752394172
2020-11-06,2421.79,2431.11,2404.97,2416.5,825568502,12579332613740
2020-11-09,2438.63,2459.15,2434.52,2447.2,1354862753,14847225309910
2020-11-10,2453.95,2457.94,2435.59,2452.83,1464168039,17981336024179
2020-11-11,2459.5,2488.04,2459.5,2485.87,1272038626,18307325541732
2020-11-12,2482.68,2488.79,2467.04,2475.62,1278691998,16420009591949
2020-11-13,2470.12,2495.77,2460.96,2493.87,1072383498,17043855124582
2020-11-16,2507.46,2546.37,2507.46,2543.03,1239135119,19088399737620
2020-11-17,2544.12,2556.09,2533.34,2539.15,1267494728,17795513090344
2020-11-18,2548.85,2553.95,2536.78,2545.64,923504383,13554047699644
2020-11-19,2536.89,2548.95,2529.53,2547.42,976483462,12515007352046
2020-11-20,2544.06,2558.21,2539.79,2553.5,1129500879,12266185661760
2020-11-23,2560.04,2605.58,2553.7,2602.59,1649443107,15763526188303
2020-11-24,2616.28,2628.52,2605.03,2617.76,1364506405,16886574054872
2020-11-25,2637.34,2642.26,2583.41,2601.54,1410104868,21795847753690
2020-11-26,2605.73,2625.97,2592.43,2625.91,1387435238,12714565083678
2020-11-27,2624.8,2635.0,2618.47,2633.45,1196041606,12641691352531
2020-11-30,2648.05,2648.66,2591.34,2591.34,1311831336,21231831917326
2020-12-01,2613.42,2638.87,2611.67,2634.25,1151129297,15947293131345
2020-12-02,2645.88,2677.26,2644.53,2675.9,1076203655,17506705123429
2020-12-03,2686.38,2696.22,2672.85,2696.22,817065939,15605053580066
2020-12-04,2705.34,2742.77,2705.34,2731.45,1778896587,19875836212787
2020-12-07,2738.11,2754.01,2711.42,2745.44,1499265153,17933011742727
2020-12-08,2745.13,2747.45,2700.92,2700.93,1415239942,17157198863683
2020-12-09,2703.3,2755.47,2703.3,2755.47,1252304581,17007606430269
2020-12-10,2750.34,2765.46,2718.7,2746.46,1227651010,20630646948075
2020-12-11,2754.16,2781.04,2754.16,2770.06,1215239032,18329100479780
2020-12-14,2769.43,2782.79,2755.29,2762.2,1113630947,17012253010491
2020-12-15,2763.65,2769.37,2735.08,2756.82,1093522786,15537969160194
2020-12-16,2763.64,2781.08,2761.5,2771.79,1166637812,13649676610565
2020-12-17,2769.89,2772.71,2742.25,2770.43,1015484002,16275328677791
2020-12-18,2770.95,2782.15,2762.8,2772.18,1059143711,19166224753391
2020-12-21,2771.98,2780.24,2747.09,2778.65,1139513643,18972230585146
2020-12-22,2772.03,2774.22,2733.64,2733.68,1260761729,19881377633257
2020-12-23,2737.74,2769.08,2716.28,2759.82,1121346859,20281217886958
2020-12-24,2762.6,2812.16,2762.6,2806.86,1030890446,19984695285723
2020-12-28,2820.95,2834.59,2799.56,2808.6,1006249698,24197780569919
2020-12-29,2810.55,2823.44,2792.06,2820.51,1046839004,19299049133439
2020-12-30,2820.36,2878.21,2809.35,2873.47,1074033495,17928854517044
2021-01-04,2874.5,2946.54,2869.11,2944.45,1026510465,25011393960858
2021-01-05,2943.67,2990.57,2921.84,2990.57,1519911750,26548380179493
2021-01-06,2993.34,3027.16,2961.37,2968.21,1793418534,29909396443430
2021-01-07,2980.75,3055.28,2980.75,3031.68,1524654500,27182807334912
2021-01-08,3040.11,3161.11,3040.11,3152.18,1297903388,40909490005818
2021-01-11,3161.9,3266.23,3096.19,3148.45,1712525848,44433772380482
2021-01-12,3145.87,3154.79,3047.56,3125.95,1390617827,31407397048772
